code,name,zone,state,address,latitude,longitude
EKN,Ezhukone,SR,Kerala,"Kollam-Tirumangalam Rd, Kerala",76.715068,8.979142999999999
GSR,Garhshankar,NR,Punjab,"Garhshankar, Punjab",76.14241700000001,31.21799
GOPA,Ghosipura,NCR,Madhya Pradesh,"Gwalior, Madhya Pradesh",78.150553,26.215133
URGA,Urga,SECR,Chhattisgarh,"Korba, Chhattisgarh",82.736062,22.265791999999998
GGV,Ghovarash Ghona,ER,West Bengal,"Ghoraras Ghona, West Bengal",88.78289199999999,22.651678
GRMR,Garhi Manikpur,NR,Uttar Pradesh,"Garhi Manikpur, Uttar Pradesh",81.40315299999999,25.786329
DTQ,Dantarda Kalan,NCR,Madhya Pradesh,"State Highway 6, Madhya Pradesh",76.71403099999999,25.763299999999997
JLQ,JALPUR,?,Uttar Pradesh,"MDR 65W, Uttar Pradesh",78.870355,29.012363999999998
HRV,HARRAD,SECR,Madhya Pradesh,"Shahdol, Madhya Pradesh",81.90404000000001,23.161136
HRNR,HIRA NAGAR,NR,Jammu and Kashmir,"Hiranagar, Jammu and Kashmir",75.268733,32.487007000000006
JKM,JANKAMPET JN,SCR,Andhra Pradesh,"Nizamabad, Andhra Pradesh",78.05386,18.70264
JOC,JOYCHANDI PAHAR,SER,West Bengal,"Purulia, West Bengal",86.68033899999999,23.516393
HIR,HARINAGAR,ECR,Bihar,"Ramnagar, Bihar",84.324507,27.156647
JCNR,JUCHANDRA,CR,Maharashtra,"NH 8, Maharashtra",72.87245142,19.35986171
JKNI,Jharkhandi,NER,Uttar Pradesh,"MDR 10E, Uttar Pradesh",82.17975597290001,27.4330507545
HAD,HARIPPAD,SR,Kerala,"Haripad 0479-2412714, Kerala",76.46222900000001,9.279602
HMPR,HURMUJPUR HALT,CR,Maharashtra,"Maharashtra, Maharashtra",83.35227499999999,25.721525
JIL,JALILA ROAD,WR,Gujarat,"Botad, Gujarat",71.820315,22.23946
ITE,Intiyathok,NER,Uttar Pradesh,"MDR 10E, Uttar Pradesh",82.0254415802,27.275552861799998
JALD,JALIYA DEVANI,WR,Gujarat,"Ranuja Village Rd, Gujarat",70.399597,22.420182999999998
KDQ,KADIPUR,NER,Uttar Pradesh,"National Highway 29, Uttar Pradesh",83.09130300000001,25.44872
IDGJ,IRADATGANJ,NCR,Uttar Pradesh,"Allahabad, Uttar Pradesh",81.81928099999999,25.317889
HM,HADMATIYA JN,WR,Gujarat,"State Highway 98, Gujarat",70.47043762019999,22.4279053359
JGE,JAGANNATH TEMPLE GATE,SR,Kerala,"Mahe, Kerala",75.507837,11.737975
HATI,HATI,WCR,Madhya Pradesh,"MDR 11, Madhya Pradesh",80.843299,24.68924
HLK,HOLALKERE,SWR,Karnataka,"National Highway 13, Karnataka",76.1300544724,14.038157957300001
JSV,JARANDESHWAR,CR,Maharashtra,"SH 61, Maharashtra",74.0773198273,17.7507667858
KCI,Kallkiri,SCR,Andhra Pradesh,"Punganur Rd, Andhra Pradesh",78.801131,13.643625
KRNU,KONANUR,SWR,Karnataka,"Nanjungudu-Chamarajanagara Rd, Karnataka",76.809835,12.025333999999999
KEX,KHEKRA,NR,Uttar Pradesh,"Tronica City, Uttar Pradesh",77.288916,28.871499999999997
SWNI,Siwani,NWR,Rajasthan,"National Highway 65, Rajasthan",75.6040669287,28.9148353709
JRT,JARTI,?,Orissa,"Jarti Station, Orissa",82.66510099999999,18.890456
HDK,HANDIA KHAS,NER,Uttar Pradesh,"Handia, Uttar Pradesh",82.18941,25.357472
JJP,Jhanjharpur,?,Bihar,"Madhubani, Bihar",86.267833,26.228493
JRKN,Jorkian,NWR,Rajasthan,"Hanumangarh, Rajasthan",74.2221512,29.8325238
KCV,Krishnachandrapur,SER,Orissa,"Mayurbhanj, Orissa",86.82005,21.824613
JSC,Jalesar City,NCR,Uttar Pradesh,"Jalesar, Uttar Pradesh",78.30634,27.459871
HRO,Harua Road,ER,West Bengal,"Harua Road Railway Station, West Bengal",88.689994,22.661628
ASTG,Astegaon,,,,77.927221,21.296402
IKR,Iklehra,CR,Madhya Pradesh,"Dongar Parasia, Madhya Pradesh",78.711385,22.207929
JKZ,Jitakheri,?,Haryana,"Bhiwani, Haryana",75.9873709528,29.0117786412
HHT,Habanghata,SWR,Karnataka,"Habanghata, Karnataka",76.2495220447,13.226848573
KLM,KADLIMATTI,SWR,Karnataka,"State Highway 20, Karnataka",75.796092,16.236489
KDHA,KARCHHA,WR,Madhya Pradesh,"State Highway 18, Madhya Pradesh",75.9098425183,23.1048189579
KDF,KHUNDAUR,NR,Uttar Pradesh,"Ramapur Railway Station, Uttar Pradesh",82.01505399999999,26.020077
KJU,KUNTIGHAT,ER,West Bengal,"Kuntighat Railway Station, West Bengal",88.413149,23.016799000000002
KTPK,KOTHA PAKKI,NR,Rajasthan,"National Highway 15, Rajasthan",73.966186,30.143767
KLWL,KILANWALI PUNJAB,NR,Punjab,"National Highway 15, Punjab",74.11242,30.137221
KHRS,KHARESHWAR ROAD,WR,Gujarat,"State Highway 7, Gujarat",71.9804719385,23.0627851439
KCP,Kalgupur,SCR,Karnataka,"Hulsoor, Karnataka",77.19175,18.163878
KJTW,KAJGAON TERHWAN,NR,Uttar Pradesh,"Kajgaon, Uttar Pradesh",82.70545000000001,25.685669
KIP,KHALILPUR,NR,Haryana,"State Highway 26, Haryana",76.67836199999999,28.274856
KHU,KHURHAND,NCR,Uttar Pradesh,"Atarra, Uttar Pradesh",80.49498,25.352584
KAW,KHAJRI,WCR,Madhya Pradesh,"Shivpuri, Madhya Pradesh",77.617075,25.563233999999998
KOV,KIRLOSKARVADI,CR,Maharashtra,"Sangli, Maharashtra",74.41635799999999,17.084152
KDJR,Kendujhargarh,ECoR,Orissa,"Kendujhar, Orissa",85.62690500000001,21.66029
TKRA,Tikra Ph,?,West Bengal,"State Highway 4, West Bengal",87.531081,21.664080000000002
KHMA,Khatima,NER,Uttarakhand,"Khatima, Uttarakhand",79.969431,28.915440999999998
KRW,KHARWA,NWR,Rajasthan,"Ajmer, Rajasthan",74.42653,26.204383999999997
KMDR,KARIMUDDIN PUR,NER,Uttar Pradesh,"Karimdinpur, Uttar Pradesh",83.860581,25.700369000000002
KRD,KARAD,CR,Maharashtra,"Satara, Maharashtra",74.215686,17.310011
KMAH,KAMATHE,KR,Maharashtra,"Maharashtra, Maharashtra",73.515552,17.477292
KLDI,KALDHARI,SCR,Andhra Pradesh,"Kaldhari Main Rd, Andhra Pradesh",81.678046,16.837853
KMP,KAMLAPUR,NER,Uttar Pradesh,"Kamalpur, Uttar Pradesh",80.822278,27.378437
KN,KADALUNDI,SR,Kerala,"Kozhikode district, Kerala",75.82803299999999,11.133481
KFK,KATKA,NER,Uttar Pradesh,"Mirzapur, Uttar Pradesh",82.634249,25.250251
KKLU,Kaklur,ECoR,Chhattisgarh,"Kaklur, Chhattisgarh",81.619792,18.883305
JVL,Jamwala,WR,Gujarat,"Junagadh, Gujarat",70.772358,20.971057
KOF,Marwar Kori,NWR,Rajasthan,"Jalor, Rajasthan",72.2738395703,24.9119408017
JTV,Jetalvad,WR,Gujarat,"Junagadh, Gujarat",70.82471799999999,21.35276
KLSX,Kaulseri,NR,Punjab,"Sherpur Sodhian, Punjab",75.941435,30.369503
KNJ,Krishnanagar City Junction,ER,West Bengal,"Krishnanagar, West Bengal",88.493636,23.388714
KTK,KYATANEAKERI RD,SWR,Karnataka,"Bijapur, Karnataka",75.821206,17.05336
LNK,LOHIAN KHAS JN,NR,Punjab,"Malsian Rd, Punjab",75.196445,31.165462
LSD,LUSADIYA,NWR,Gujarat,"Lusadiya, Gujarat",73.421111,23.685409999999997
SPPR,SHUDNIPUR,NR,Uttar Pradesh,"State Highway 5, Uttar Pradesh",82.64049800000001,25.626255
LGT,LANGTING,NFR,Assam,"Langting, Assam",93.110265,25.49759
KRR,KARUR,SR,Tamil Nadu,"Karur, Tamil Nadu",78.085087,10.965642
KWMD,KUMBHAWAS MUNDA,NR,Haryana,"Kumbhawas, Haryana",76.660871,28.255391
KU,KULIKARAI,SR,Tamil Nadu,"Thiruvarur - Mannargudi Rd, Tamil Nadu",79.579324,10.766395
KRTL,Kartauli,NER,Uttar Pradesh,"State Highway 33, Uttar Pradesh",79.42761829999999,28.3110435
KUND,Kund,NWR,Haryana,"State Highway 26, Haryana",76.39848079709999,28.145183762800002
MCQ,MIRCHADHORI,ECR,Madhya Pradesh,"National Highway 75, Madhya Pradesh",82.793413,24.291847
KSNR,KHUSHAL NAGAR,NER,Uttar Pradesh,"Ghughli Bazar, Uttar Pradesh",83.6983925134,26.9877753343
KYNT,KALYANKOT,NWR,Rajasthan,"Kalyankot, Rajasthan",73.637024,29.298804999999998
LXR,LUNSERIYA,WR,Gujarat,"State Highway 113, Gujarat",71.036258,22.585491
LP,LALAPET,SR,Tamil Nadu,"NH 67, Tamil Nadu",78.339233,10.95132
KQL,KANDHLA,NR,Uttar Pradesh,"MDR 22W, Uttar Pradesh",77.293239,29.324701
KZI,KHANDRAWALI,NR,Uttar Pradesh,"State Highway 57, Uttar Pradesh",77.2938848779,29.382584655000002
KXL,KAMARBANDHA ALI,NFR,Assam,"K B Rd, Assam",94.056352,26.529561
LGH,LALGARH JN,NWR,Rajasthan,"Bikaner, Rajasthan",73.313909,28.043638
LH,LAHING,NFR,Assam,"Mudoijan, Assam",94.4371491022,26.7412013647
KRKD,KARAKKAD,SR,Kerala,"Kondayur Rd, Kerala",76.227856,10.782804
LMP,LAKHIMPUR,NER,Uttar Pradesh,"Lakhimpur, Uttar Pradesh",80.777625,27.947414
MBB,Murshidabad,ER,West Bengal,"Berhampore, West Bengal",88.281598,24.176963999999998
KUX,Khirsadoh Junction,CR,Madhya Pradesh,"Chhindwara, Madhya Pradesh",78.798394,22.140449999999998
KWGN,Kawargaon,ECoR,Chhattisgarh,"Kawargaon, Chhattisgarh",81.53352199999999,18.896086
LBW,Laiburwa Halt,NER,Uttar Pradesh,"Laiburwa, Uttar Pradesh",82.4683445782,27.5260420401
MLGH,Mandalgarh,WCR,Rajasthan,"Mandalgarh, Rajasthan",75.08094,25.194176
LAU,Ladnun,NWR,Rajasthan,"Ladnun, Rajasthan",74.4056,27.64255
MLKA,Maluka,SER,Jharkhand,"Jaipur, Jharkhand",85.672936,22.202912
MLZ,MALARNA,WCR,Rajasthan,"Sawai Madhopur, Rajasthan",76.534634,26.231078
MPJ,Madanpur,ER,West Bengal,"Madanpur, West Bengal",88.489717,23.005927999999997
MPT,Mangalampeta,SCR,Andhra Pradesh,"Naravari Palle Rd, Andhra Pradesh",79.074022,13.568344
MCV,MACHARYA,NR,Uttar Pradesh,"Kundarkhi, Uttar Pradesh",78.80370199999999,28.772575
MDSA,Modasa,WR,Gujarat,"way to railwaystation, Gujarat",73.304944,23.451923
MFJ,Muftiganj,NER,Uttar Pradesh,"Jaunpur, Uttar Pradesh",82.827774,25.700913
MOMU,Molakalmuru,SWR,Karnataka,"State Highway 19, Karnataka",76.74572699999999,14.709669
MOT,MALOUT,NR,Punjab,"Malaut, Punjab",74.49550799999999,30.184671
MMP,MAMBALAPPATTU JN,SR,Tamil Nadu,"Mambalapattu, Tamil Nadu",79.37390499,11.95223333
MFX,MADARAHA,NCR,Uttar Pradesh,"National Highway 76, Uttar Pradesh",81.764284,25.273637
MJHR,MAJHIARI,NCR,Uttar Pradesh,"National Highway 76, Uttar Pradesh",81.5188330261,25.1789843066
MJG,MAJHAGAWAN,WCR,Madhya Pradesh,"Majhgawa, Madhya Pradesh",80.811656,24.913389000000002
MQZ,MOTA JADRA,WR,Gujarat,"Mota Jadra Rd, Gujarat",71.704462,21.082538000000003
MNKN,MANIKALAN HALT,NR,Uttar Pradesh,"Nawab Yousuf Rd, Uttar Pradesh",82.691157,25.917549
MOG,MOHIUDDINNAGAR,ECR,Bihar,"Samastipur, Bihar",85.70332322690001,25.606296391399997
MGC,MUGAT,SCR,Maharashtra,"Nanded, Maharashtra",77.427262,19.17485
MVI,MORBI,WR,Gujarat,"Morbi, Gujarat",70.829277,22.825342
MOB,MANOHARABAD,SCR,Andhra Pradesh,"Medak, Andhra Pradesh",78.45439599999999,17.75573
MLW,Mallanwan,NR,Uttar Pradesh,"Mallawan, Uttar Pradesh",80.1583349207,27.0362379616
MPN,Madhyampur,ER,West Bengal,"Madhyampur Railway Station, West Bengal",88.896007,22.619981
MDLL,MUDDALINGAHALLI,SWR,Karnataka,"NH 207, Karnataka",77.3047403595,13.2391442032
MAQ,MANGALORE CNTL,SR,Karnataka,"Mangalore, Karnataka",74.844068,12.862325
MBP,MOHIBULLAPUR,NER,Uttar Pradesh,"Aliganj, Uttar Pradesh",80.938923,26.909235
MANW,MANWA,NER,Uttar Pradesh,"Manwa, Uttar Pradesh",80.849604,27.218852
MGLP,MANGOLPURI,NR,Delhi NCT,"Outter Ring Rd, Delhi NCT",77.0905744531,28.6832457826
MLAR,MALANPUR,NCR,Madhya Pradesh,"National Highway 3, Madhya Pradesh",78.27281099999999,26.413117999999997
MHF,Mohari Junction,NCR,Rajasthan,"State Highway 43, Rajasthan",77.55378492,26.70055271
MEJ,VANCHIMANIYACHI,SR,Tamil Nadu,"Thoothukudi, Tamil Nadu",77.890651,8.882102999999999
MTPR,Raimehatpur,NR,Himachal Pradesh,"Mehatpur, Himachal Pradesh",76.32431100000001,31.405746999999998
MNSR,MANAKSAR,NWR,Rajasthan,"Hanumangarh, Rajasthan",74.383621,29.680074
MRZA,MIRZA,NFR,Assam,"National Highway 37, Assam",91.51740114900001,26.0727512878
MJ,MARWAR JN,NWR,Rajasthan,"Marwar Junction, Rajasthan",73.609301,25.720478999999997
MRDD,Mordar,SCR,Madhya Pradesh,"Khandwa, Madhya Pradesh",76.44924400000001,21.74264
MWK,Mordad Tanda,CR,Maharashtra,"State Highway 22, Maharashtra",74.904782,20.688190000000002
MHRG,Mahendragarh,NWR,Haryana,"Mahendragarh, Haryana",76.14863000000001,28.281433000000003
MUV,MANDUADIH,NER,Uttar Pradesh,"Varanasi, Uttar Pradesh",82.972079,25.300001
MKT,Mukhtiar Balwar,WR,Madhya Pradesh,"SH 27, Madhya Pradesh",75.973751,22.398362
MEKM,Melakkonnakkulam,SR,Tamil Nadu,"National Highway 226, Tamil Nadu",78.46655700000001,9.724592999999999
MJZ,Majhola Pakarya,NER,Uttarakhand,"State Hiughway 29, Uttarakhand",79.899341,28.831681000000003
MGWD,Mahngarwal Doaba,NR,Punjab,"Mahngarwal Doaba, Punjab",76.088969,31.325405
MKM,Marikuppam,SWR,Karnataka,"Kolar Gold Fields, Karnataka",78.263789,12.918968
MVW,Mallividu,ECoR,Andhra Pradesh,"Coastal Andhra Region, Andhra Pradesh",83.17285799999999,17.971931
MYD,MANDERDISA,NFR,Assam,"Diakkawn Rd, Assam",93.123109,25.707319
NKD,NEKONDA,SCR,Andhra Pradesh,"Nekkonda, Andhra Pradesh",79.80459300000001,17.794877999999997
NRNR,Nurnagar,NR,Uttar Pradesh,"Meerut, Uttar Pradesh",77.71298900000001,28.915414000000002
